experiment_id,experiment_label,score_28,score_special,score_total,delta_vs_full
official_baseline,官方Baseline,17.590403787245695,4.265149804581109,21.855553591826805,-2.1078238594093293
full,完整模型,19.181892663354002,4.781484787882131,23.963377451236134,0.0
no_temperature,关闭温度修正,19.083831868309915,4.770650259648301,23.854482127958214,-0.1088953232779204
no_industry,关闭行业分项融合,19.151762222123747,4.766583325226821,23.91834554735057,-0.04503190388556533
no_return_alignment,关闭节后恢复对齐,19.17814846812601,4.781484787882131,23.959633256008143,-0.0037441952279912982
no_smoothing,关闭历史曲线平滑,19.040867523177482,4.781484787882131,23.822352311059614,-0.14102514017652013
template_only,仅春节模板分支,19.149192386016473,4.789514003991409,23.93870639000788,-0.024671061228254132
ridge_only,仅Ridge分支,17.823732257779863,4.487031110357669,22.310763368137533,-1.6526140830986016
