weight,score_28,score_special,score_total,is_original
0.0,17.823732257779863,4.487031110357669,22.310763368137533,False
0.1,18.03202732691575,4.530370184537819,22.562397511453568,False
0.2,18.235196259140153,4.572499909078862,22.807696168219014,False
0.3,18.431465073543386,4.61308483089175,23.044549904435137,False
0.4,18.618138868927566,4.651718998689115,23.269857867616683,False
0.5,18.791077403528913,4.687907330447107,23.47898473397602,False
0.6,18.944284679501315,4.720990634143844,23.66527531364516,False
0.7,19.0699143131008,4.749967698683697,23.819882011784497,False
0.8,19.157318733188458,4.7730860316876385,23.930404764876094,False
0.85,19.181892663354002,4.781484787882131,23.963377451236134,True
0.9,19.19026148702422,4.787130124469966,23.977391611494184,False
0.95,19.179716041508023,4.789806911181171,23.969522952689193,False
1.0,19.149192386016473,4.789514003991409,23.93870639000788,False
