experiment_id,city_id,coefficient_28,coefficient_special,score_28,score_special,score_total
official_baseline,city_1,0.7376486299654719,0.616695086728832,14.752972599309437,3.08347543364416,17.836448032953598
official_baseline,city_2,0.8219086049064304,0.8144717533312235,16.438172098128607,4.072358766656118,20.510530864784727
official_baseline,city_3,0.81617249947878,0.7728730218585173,16.3234499895756,3.8643651092925864,20.187815098868185
official_baseline,city_4,0.9638127988674472,0.9517990127515866,19.276255977348946,4.758995063757933,24.03525104110688
official_baseline,city_5,0.9578382384618545,0.9544328785922281,19.15676476923709,4.772164392961141,23.92892916219823
official_baseline,city_6,0.9268984654172738,0.8960577432875733,18.537969308345478,4.480288716437866,23.018258024783343
official_baseline,city_7,0.9022695086558054,0.9017647625724068,18.045390173116107,4.508823812862034,22.55421398597814
official_baseline,city_8,0.9287096395503363,0.9190465229312732,18.574192791006723,4.595232614656366,23.16942540566309
official_baseline,city_9,0.8670237911941032,0.8587927730945709,17.340475823882066,4.293963865472855,21.63443968935492
official_baseline,city_10,0.8729197171253436,0.8443660540140062,17.45839434250687,4.221830270070031,21.6802246125769
full,city_1,0.928266162522047,0.9251993810530724,18.56532325044094,4.625996905265362,23.1913201557063
full,city_2,0.9627775050744842,0.9712260936555864,19.255550101489685,4.856130468277932,24.111680569767618
full,city_3,0.9414059901973272,0.9368180070447946,18.828119803946542,4.6840900352239725,23.512209839170517
full,city_4,0.9668099944620906,0.9512563310871733,19.33619988924181,4.756281655435867,24.09248154467768
full,city_5,0.9609457155750537,0.9585786987569659,19.218914311501074,4.792893493784829,24.011807805285905
full,city_6,0.9655615778549679,0.9615170215774379,19.311231557099358,4.807585107887189,24.118816664986547
full,city_7,0.9715068600509346,0.9551491304324292,19.43013720101869,4.775745652162146,24.20588285318084
full,city_8,0.9536286254011543,0.9516291205778472,19.072572508023086,4.758145602889236,23.830718110912322
full,city_9,0.9690544671569312,0.9642144667622272,19.381089343138626,4.821072333811136,24.202161676949764
full,city_10,0.9709894333820098,0.9873813248167279,19.419788667640198,4.9369066240836394,24.356695291723838
no_temperature,city_1,0.9279833237494617,0.9252426950752294,18.559666474989235,4.626213475376147,23.185879950365383
no_temperature,city_2,0.9586419320482479,0.9700302590415099,19.172838640964958,4.850151295207549,24.022989936172507
no_temperature,city_3,0.9295342905732372,0.9321769828235926,18.590685811464745,4.660884914117963,23.25157072558271
no_temperature,city_4,0.9632450022553248,0.9464789441604936,19.264900045106497,4.732394720802468,23.997294765908965
no_temperature,city_5,0.9562404483219926,0.9552577829898019,19.12480896643985,4.77628891494901,23.90109788138886
no_temperature,city_6,0.9428777577008575,0.9546842174508076,18.85755515401715,4.773421087254038,23.630976241271185
no_temperature,city_7,0.9707773609022874,0.9551799086298483,19.41554721804575,4.775899543149241,24.19144676119499
no_temperature,city_8,0.9534945519372913,0.9511890528357826,19.069891038745826,4.755945264178913,23.82583630292474
no_temperature,city_9,0.9683056350169226,0.9635520494727127,19.36611270033845,4.817760247363563,24.183872947702014
no_temperature,city_10,0.9708156316493346,0.9875086268168236,19.416312632986692,4.937543134084118,24.35385576707081
no_industry,city_1,0.9217680236910912,0.910977249241931,18.435360473821824,4.554886246209655,22.99024672003148
no_industry,city_2,0.9598681675747192,0.9645357837874284,19.19736335149438,4.822678918937142,24.020042270431524
no_industry,city_3,0.9366930486446488,0.928276987623136,18.733860972892977,4.64138493811568,23.375245911008655
no_industry,city_4,0.9664429164782677,0.9509508594888589,19.328858329565357,4.754754297444295,24.08361262700965
no_industry,city_5,0.9608081092694047,0.9581863906211883,19.216162185388093,4.790931953105941,24.007094138494033
no_industry,city_6,0.9623006117245069,0.9573670575053999,19.246012234490138,4.7868352875269995,24.032847522017136
no_industry,city_7,0.9753440164778661,0.962892700400712,19.506880329557323,4.8144635020035595,24.32134383156088
no_industry,city_8,0.954172149323083,0.9523490013757874,19.083442986461662,4.761745006878937,23.8451879933406
no_industry,city_9,0.9678305859716806,0.9618659198951368,19.356611719433612,4.809329599475684,24.165941318909297
no_industry,city_10,0.9706534819066037,0.985764700514064,19.413069638132075,4.92882350257032,24.341893140702396
no_return_alignment,city_1,0.9280088712924108,0.9251993810530724,18.560177425848217,4.625996905265362,23.186174331113577
no_return_alignment,city_2,0.9620056662348428,0.9712260936555864,19.240113324696857,4.856130468277932,24.09624379297479
no_return_alignment,city_3,0.941259123861074,0.9368180070447946,18.82518247722148,4.6840900352239725,23.509272512445456
no_return_alignment,city_4,0.966549223313651,0.9512563310871733,19.33098446627302,4.756281655435867,24.087266121708886
no_return_alignment,city_5,0.9609645161820972,0.9585786987569659,19.219290323641943,4.792893493784829,24.012183817426774
no_return_alignment,city_6,0.9652889848104349,0.9615170215774379,19.3057796962087,4.807585107887189,24.113364804095887
no_return_alignment,city_7,0.9714425913372587,0.9551491304324292,19.428851826745174,4.775745652162146,24.20459747890732
no_return_alignment,city_8,0.9534853674873484,0.9516291205778472,19.069707349746967,4.758145602889236,23.827852952636203
no_return_alignment,city_9,0.9691601014889643,0.9642144667622272,19.383202029779284,4.821072333811136,24.20427436359042
no_return_alignment,city_10,0.9709097880549238,0.9873813248167279,19.418195761098474,4.9369066240836394,24.355102385182114
no_smoothing,city_1,0.9263654103138214,0.9251993810530724,18.527308206276427,4.625996905265362,23.15330511154179
no_smoothing,city_2,0.954461522376109,0.9712260936555864,19.08923044752218,4.856130468277932,23.945360915800112
no_smoothing,city_3,0.9298849270747266,0.9368180070447946,18.59769854149453,4.6840900352239725,23.281788576718505
no_smoothing,city_4,0.9652456133682638,0.9512563310871733,19.304912267365275,4.756281655435867,24.06119392280114
no_smoothing,city_5,0.9524255905633323,0.9585786987569659,19.048511811266646,4.792893493784829,23.841405305051474
no_smoothing,city_6,0.9578077991381264,0.9615170215774379,19.156155982762527,4.807585107887189,23.963741090649716
no_smoothing,city_7,0.9639364548804656,0.9551491304324292,19.278729097609315,4.775745652162146,24.05447474977146
no_smoothing,city_8,0.9491033033205724,0.9516291205778472,18.98206606641145,4.758145602889236,23.740211669300685
no_smoothing,city_9,0.9611826976454212,0.9642144667622272,19.223653952908425,4.821072333811136,24.04472628671956
no_smoothing,city_10,0.9600204429079033,0.9873813248167279,19.200408858158067,4.9369066240836394,24.137315482241707
template_only,city_1,0.9359366129468574,0.9291045867628007,18.71873225893715,4.645522933814004,23.364255192751152
template_only,city_2,0.952031412078356,0.9706329618733758,19.04062824156712,4.853164809366879,23.893793050934
template_only,city_3,0.9387100760831723,0.939009116488612,18.774201521663446,4.6950455824430595,23.469247104106508
template_only,city_4,0.9614296417405217,0.9435954532043078,19.228592834810435,4.717977266021539,23.946570100831973
template_only,city_5,0.9580831668139826,0.9591912386885435,19.161663336279652,4.795956193442717,23.95761952972237
template_only,city_6,0.962318809270324,0.9692838672651205,19.24637618540648,4.846419336325603,24.092795521732082
template_only,city_7,0.9775344226090399,0.9752821710421522,19.550688452180797,4.876410855210761,24.427099307391558
template_only,city_8,0.9510354264437932,0.9507101023385013,19.020708528875865,4.753550511692507,23.77425904056837
