city_id,baseline_score_28,full_score_28,baseline_score_special,full_score_special,baseline_score_total,full_score_total,gain_28,gain_special,gain_total
city_1,14.752972599309437,18.56532325044094,3.08347543364416,4.625996905265362,17.836448032953598,23.1913201557063,3.812350651131503,1.542521471621202,5.3548721227527025
city_2,16.438172098128607,19.255550101489685,4.072358766656118,4.856130468277932,20.510530864784727,24.111680569767618,2.8173780033610782,0.7837717016218146,3.601149704982891
city_3,16.3234499895756,18.828119803946542,3.8643651092925864,4.6840900352239725,20.187815098868185,23.512209839170517,2.504669814370942,0.8197249259313861,3.3243947403023313
city_4,19.276255977348946,19.33619988924181,4.758995063757933,4.756281655435867,24.03525104110688,24.09248154467768,0.05994391189286574,-0.002713408322065902,0.05723050357079984
city_5,19.15676476923709,19.218914311501074,4.772164392961141,4.792893493784829,23.92892916219823,24.011807805285905,0.062149542263984614,0.020729100823688285,0.08287864308767467
city_6,18.537969308345478,19.311231557099358,4.480288716437866,4.807585107887189,23.018258024783343,24.118816664986547,0.7732622487538805,0.3272963914493232,1.1005586402032037
city_7,18.045390173116107,19.43013720101869,4.508823812862034,4.775745652162146,22.55421398597814,24.20588285318084,1.3847470279025842,0.26692183930011204,1.651668867202698
city_8,18.574192791006723,19.072572508023086,4.595232614656366,4.758145602889236,23.16942540566309,23.830718110912322,0.49837971701636263,0.16291298823287015,0.661292705249231
city_9,17.340475823882066,19.381089343138626,4.293963865472855,4.821072333811136,21.63443968935492,24.202161676949764,2.04061351925656,0.5271084683382812,2.567721987594844
city_10,17.45839434250687,19.419788667640198,4.221830270070031,4.9369066240836394,21.6802246125769,24.356695291723838,1.9613943251333268,0.7150763540136085,2.676470679146938
